# legacy_corrected HLLD (N0) Dai-Woodward, Nx=400, t=0.2; source benchmarks/raw/legacy_corrected/riemann_1d_n400/dai_woodward_1d.csv
x rho u By p
-0.03875 1.40291 0.686631 1.57698 1.49111
-0.03625 1.40317 0.686514 1.58049 1.49159
-0.03375 1.40352 0.686356 1.5827 1.49225
-0.03125 1.40406 0.686121 1.5838 1.49324
-0.02875 1.40492 0.685756 1.58394 1.49479
-0.02625 1.40629 0.685174 1.58316 1.49725
-0.02375 1.40849 0.684244 1.58134 1.5012
-0.02125 1.41201 0.682765 1.57813 1.50749
-0.01875 1.41749 0.680459 1.573 1.51734
-0.01625 1.42584 0.676959 1.56514 1.53239
-0.01375 1.43804 0.671845 1.55363 1.55456
-0.01125 1.45504 0.664738 1.5376 1.5857
-0.00875 1.47722 0.655469 1.51665 1.62682
-0.00625 1.50401 0.644283 1.49135 1.67711
-0.00375 1.53358 0.631932 1.46347 1.73332
-0.00125 1.56317 0.619547 1.43567 1.79024
0.00125 1.59 0.608282 1.4106 1.84237
0.00375 1.61215 0.598935 1.39003 1.88578
0.00625 1.62899 0.591787 1.3745 1.91901
0.00875 1.64093 0.586686 1.36358 1.94271
0.01125 1.64891 0.583249 1.35632 1.95864
0.01375 1.65399 0.581042 1.35173 1.96883
0.01625 1.65707 0.579681 1.34895 1.97509
0.01875 1.65885 0.578875 1.34734 1.97878
0.02125 1.65982 0.578416 1.34643 1.98087
0.02375 1.66031 0.578165 1.34596 1.982
0.02625 1.66051 0.578037 1.34572 1.98257
0.02875 1.66056 0.577976 1.34561 1.98284
0.03125 1.66051 0.577953 1.34558 1.98294
0.03375 1.66041 0.577949 1.34558 1.98296
0.03625 1.66029 0.577954 1.34559 1.98294
0.03875 1.66015 0.577963 1.34562 1.9829
0.04125 1.65999 0.577973 1.34564 1.98285
0.04375 1.65983 0.577984 1.34566 1.98281
0.04625 1.65965 0.577995 1.34569 1.98276
0.04875 1.65946 0.578005 1.34571 1.98272
0.05125 1.65926 0.578014 1.34573 1.98269
0.05375 1.65904 0.578023 1.34574 1.98265
0.05625 1.65879 0.578031 1.34576 1.98262
0.05875 1.65852 0.578039 1.34577 1.98259
0.06125 1.6582 0.578046 1.34579 1.98256
0.06375 1.65783 0.578053 1.3458 1.98253
0.06625 1.65737 0.57806 1.34581 1.98251
0.06875 1.65681 0.578067 1.34582 1.98249
0.07125 1.6561 0.578073 1.34583 1.98247
0.07375 1.65518 0.578079 1.34584 1.98245
0.07625 1.65399 0.578085 1.34585 1.98243
0.07875 1.65243 0.578091 1.34586 1.98241
0.08125 1.65042 0.578096 1.34587 1.9824
0.08375 1.64784 0.578101 1.34587 1.98238
0.08625 1.64457 0.578107 1.34588 1.98237
0.08875 1.64051 0.578112 1.34589 1.98236
0.09125 1.63557 0.578117 1.34589 1.98234
0.09375 1.62968 0.578122 1.3459 1.98233
0.09625 1.62281 0.578127 1.3459 1.98232
0.09875 1.61498 0.578131 1.34591 1.98231
0.10125 1.60625 0.578136 1.34591 1.98231
0.10375 1.59677 0.578141 1.34591 1.9823
0.10625 1.58669 0.578145 1.34591 1.98229
0.10875 1.57623 0.57815 1.34592 1.98229
0.11125 1.56562 0.578154 1.34592 1.98228
0.11375 1.55513 0.578159 1.34592 1.98228
0.11625 1.54499 0.578163 1.34592 1.98227
0.11875 1.53541 0.578168 1.34592 1.98227
0.12125 1.52658 0.578172 1.34592 1.98227
0.12375 1.51865 0.578177 1.34592 1.98227
0.12625 1.51168 0.578181 1.34592 1.98227
0.12875 1.50573 0.578186 1.34592 1.98227
0.13125 1.50077 0.578191 1.34592 1.98227
0.13375 1.49676 0.578195 1.34592 1.98227
0.13625 1.49362 0.5782 1.34592 1.98227
0.13875 1.49126 0.578205 1.34592 1.98227
0.14125 1.48955 0.57821 1.34592 1.98228
0.14375 1.48839 0.578215 1.34591 1.98228
0.14625 1.48768 0.57822 1.34591 1.98229
0.14875 1.4873 0.578225 1.34591 1.9823
0.15125 1.48719 0.57823 1.3459 1.9823
0.15375 1.48726 0.578235 1.3459 1.98231
0.15625 1.48746 0.578241 1.34589 1.98232
0.15875 1.48774 0.578246 1.34589 1.98233
0.16125 1.48807 0.578252 1.34588 1.98234
0.16375 1.48841 0.578257 1.34588 1.98235
0.16625 1.48877 0.578261 1.34587 1.98235
0.16875 1.48911 0.578264 1.34587 1.98235
0.17125 1.48944 0.578266 1.34588 1.98234
0.17375 1.48974 0.578265 1.34589 1.98232
0.17625 1.49002 0.57826 1.34591 1.98227
0.17875 1.49026 0.578249 1.34595 1.9822
0.18125 1.49046 0.578229 1.34601 1.98207
0.18375 1.49062 0.578195 1.34611 1.98188
0.18625 1.49071 0.578143 1.34626 1.9816
0.18875 1.49073 0.578064 1.34647 1.98118
0.19125 1.49066 0.57795 1.34678 1.98057
0.19375 1.49046 0.577788 1.34722 1.97972
0.19625 1.49011 0.577562 1.34782 1.97855
0.19875 1.48955 0.577251 1.34864 1.97695
0.20125 1.48873 0.576831 1.34975 1.9748
0.20375 1.48759 0.576271 1.35121 1.97196
0.20625 1.48605 0.575535 1.35312 1.96823
0.20875 1.48401 0.57458 1.35559 1.96343
0.21125 1.48137 0.573358 1.35873 1.95732
0.21375 1.47801 0.571814 1.36267 1.94963
0.21625 1.47381 0.569887 1.36754 1.9401
0.21875 1.46864 0.567515 1.37348 1.92846
0.22125 1.46237 0.564635 1.3806 1.91442
0.22375 1.4549 0.561186 1.38901 1.89777
0.22625 1.44613 0.557121 1.39877 1.87834
0.22875 1.43604 0.552405 1.40988 1.85607
0.23125 1.42463 0.547029 1.42227 1.83101
0.23375 1.412 0.541017 1.43582 1.8034
0.23625 1.39829 0.534428 1.45028 1.77363
0.23875 1.38378 0.527363 1.46534 1.74229
0.24125 1.36876 0.519965 1.48063 1.7101
0.24375 1.35361 0.512405 1.49575 1.67788
0.24625 1.33873 0.504877 1.51029 1.64647
0.24875 1.32447 0.497571 1.52387 1.61663
0.25125 1.31116 0.490667 1.53619 1.58902
0.25375 1.29905 0.484305 1.54703 1.56409
0.25625 1.28829 0.478587 1.55628 1.54211
0.25875 1.27894 0.473565 1.5639 1.52314
0.26125 1.27098 0.469249 1.56992 1.50708
0.26375 1.26432 0.465609 1.57444 1.49373
0.26625 1.25885 0.462593 1.57758 1.48279
0.26875 1.25442 0.460131 1.5795 1.47394
0.27125 1.25088 0.458147 1.58033 1.46687
0.27375 1.24807 0.456564 1.58022 1.46125
0.27625 1.24586 0.455311 1.5793 1.45683
0.27875 1.24414 0.454324 1.5777 1.45334
0.28125 1.2428 0.453549 1.57551 1.45061
0.28375 1.24177 0.452941 1.57284 1.44845
0.28625 1.24096 0.452461 1.56978 1.44674
0.28875 1.24033 0.452079 1.5664 1.44537
0.29125 1.23983 0.451774 1.56278 1.44426
0.29375 1.23944 0.451527 1.55898 1.44335
0.29625 1.23912 0.451324 1.55506 1.4426
0.29875 1.23887 0.451155 1.55109 1.44196
0.30125 1.23866 0.451013 1.54712 1.44142
0.30375 1.23848 0.450893 1.54321 1.44096
0.30625 1.23834 0.45079 1.53938 1.44056
0.30875 1.23822 0.450703 1.53569 1.44022
0.31125 1.23811 0.450627 1.53218 1.43992
0.31375 1.23802 0.450563 1.52885 1.43967
0.31625 1.23795 0.450508 1.52575 1.43945
0.31875 1.23789 0.450461 1.52289 1.43927
0.32125 1.23783 0.450421 1.52026 1.43911
0.32375 1.23779 0.450387 1.51789 1.43897
0.32625 1.23775 0.450358 1.51576 1.43886
0.32875 1.23772 0.450334 1.51386 1.43876
0.33125 1.2377 0.450314 1.5122 1.43868
0.33375 1.23767 0.450297 1.51075 1.43861
0.33625 1.23766 0.450282 1.5095 1.43855
0.33875 1.23764 0.45027 1.50843 1.4385
0.34125 1.23763 0.450259 1.50753 1.43845
0.34375 1.23761 0.450249 1.50677 1.43841
0.34625 1.2376 0.450241 1.50615 1.43838
0.34875 1.2376 0.450233 1.50563 1.43834
0.35125 1.23759 0.450226 1.50521 1.43831
0.35375 1.23758 0.45022 1.50487 1.43829
0.35625 1.23757 0.450214 1.5046 1.43826
0.35875 1.23757 0.450209 1.50438 1.43824
0.36125 1.23756 0.450203 1.50422 1.43821
0.36375 1.23756 0.450198 1.50409 1.43819
0.36625 1.23755 0.450194 1.50399 1.43817
0.36875 1.23755 0.450189 1.50391 1.43815
0.37125 1.23754 0.450185 1.50386 1.43813
0.37375 1.23754 0.450181 1.50382 1.43811
0.37625 1.23753 0.450177 1.50379 1.43809
0.37875 1.23753 0.450173 1.50377 1.43807
0.38125 1.23753 0.450169 1.50376 1.43805
0.38375 1.23752 0.450165 1.50375 1.43804
0.38625 1.23752 0.450161 1.50375 1.43802
0.38875 1.23752 0.450156 1.50375 1.438
0.39125 1.23751 0.450151 1.50375 1.43799
0.39375 1.23751 0.450144 1.50375 1.43797
0.39625 1.2375 0.450136 1.50375 1.43795
0.39875 1.2375 0.450125 1.50374 1.43792
0.40125 1.23749 0.450111 1.50374 1.4379
0.40375 1.23747 0.450091 1.50373 1.43787
0.40625 1.23746 0.450063 1.50371 1.43783
0.40875 1.23744 0.450025 1.50368 1.43778
0.41125 1.23741 0.449971 1.50364 1.43771
0.41375 1.23736 0.449895 1.50359 1.43762
0.41625 1.2373 0.449789 1.5035 1.43749
0.41875 1.23722 0.44964 1.50338 1.43732
0.42125 1.2371 0.449433 1.5032 1.43709
0.42375 1.23694 0.449144 1.50296 1.43677
0.42625 1.23671 0.448743 1.50262 1.43632
0.42875 1.2364 0.448188 1.50214 1.43571
0.43125 1.23597 0.447424 1.50148 1.43487
0.43375 1.23538 0.446373 1.50058 1.43372
0.43625 1.23457 0.444936 1.49934 1.43215
0.43875 1.23347 0.442976 1.49764 1.43002
0.44125 1.23198 0.440317 1.49534 1.42712
0.44375 1.22997 0.436727 1.49224 1.42322
0.44625 1.22727 0.431907 1.48808 1.418
0.44875 1.22368 0.425485 1.48253 1.41105
0.45125 1.21895 0.417002 1.47522 1.4019
0.45375 1.21279 0.405921 1.46569 1.39001
0.45625 1.20488 0.391646 1.45345 1.37476
0.45875 1.19492 0.37358 1.43801 1.35561
0.46125 1.18267 0.351224 1.419 1.33211
0.46375 1.16805 0.324321 1.39624 1.30417
0.46625 1.15118 0.293037 1.36993 1.27214
0.46875 1.13254 0.258117 1.34076 1.237
0.47125 1.11291 0.220942 1.30989 1.20033
0.47375 1.09329 0.183398 1.2789 1.16411
0.47625 1.07474 0.147542 1.24943 1.13032
0.47875 1.05813 0.11517 1.2229 1.1005
0.48125 1.04403 0.0874633 1.20022 1.07551
0.48375 1.03258 0.064863 1.18172 1.0555
0.48625 1.02366 0.0471675 1.16721 1.04007
0.48875 1.01692 0.0337666 1.15621 1.02853
0.49125 1.01196 0.0238799 1.14808 1.0201
0.49375 1.00837 0.0167298 1.14219 1.01404
0.49625 1.00582 0.0116349 1.13799 1.00975
0.49875 1.00403 0.00804316 1.13503 1.00674
