# AMReX Dai-Woodward ref, Nx=2048, t=0.2; source benchmarks/raw/report_inputs/dw_ref_2048.csv
x rho u By p
0.219971 1.4972 0.578225 1.34613 1.981
0.222412 1.49751 0.578371 1.34578 1.98168
0.224854 1.49757 0.578407 1.34573 1.98184
0.227295 1.49719 0.578254 1.34617 1.9811
0.230225 1.49715 0.578145 1.34633 1.98104
0.232666 1.49742 0.578107 1.34617 1.98163
0.235107 1.49715 0.578074 1.34632 1.98102
0.237549 1.44847 0.555487 1.40124 1.87508
0.23999 1.23742 0.449955 1.61103 1.4374
0.242432 1.23765 0.450077 1.61124 1.43785
0.244873 1.23763 0.450093 1.61127 1.43781
0.247314 1.23763 0.450106 1.61095 1.43781
0.250244 1.23758 0.450045 1.61034 1.43771
0.252686 1.23755 0.450013 1.61029 1.43765
0.255127 1.23755 0.450042 1.61034 1.43766
0.257568 1.23758 0.450077 1.61038 1.4377
0.26001 1.23759 0.45009 1.61048 1.43772
0.262451 1.23759 0.450098 1.6108 1.43773
0.264893 1.2376 0.450117 1.61129 1.43774
0.267334 1.23761 0.450151 1.61135 1.43777
0.269775 1.23763 0.450176 1.61116 1.43779
0.272705 1.2376 0.450142 1.61057 1.43775
0.275146 1.23758 0.450093 1.61041 1.4377
0.277588 1.23756 0.450082 1.61042 1.43768
0.280029 1.23756 0.450087 1.61048 1.43767
0.282471 1.23756 0.450091 1.61069 1.43767
0.284912 1.23756 0.450083 1.61103 1.43767
0.287354 1.23755 0.450073 1.61041 1.43765
0.289795 1.23757 0.450094 1.60423 1.43768
0.292725 1.23749 0.450041 1.57277 1.43753
0.295166 1.23736 0.449895 1.5163 1.43723
0.297607 1.23747 0.450011 1.50324 1.43739
0.300049 1.2375 0.450051 1.50375 1.43744
0.30249 1.2375 0.450053 1.50406 1.43744
0.304932 1.23749 0.45004 1.50399 1.43742
0.307373 1.23748 0.45003 1.50395 1.43741
0.309814 1.23748 0.450038 1.50398 1.43741
0.312744 1.23752 0.450101 1.50403 1.43749
0.315186 1.23753 0.450117 1.50403 1.43751
0.317627 1.23745 0.449975 1.50391 1.43735
0.320068 1.23728 0.449682 1.50367 1.43703
0.32251 1.23729 0.449704 1.50369 1.43705
0.324951 1.23743 0.449943 1.50389 1.43731
0.327393 1.23747 0.450005 1.50394 1.43739
0.329834 1.23744 0.449949 1.50389 1.43733
0.332275 1.23742 0.449921 1.50387 1.43729
0.335205 1.23743 0.449951 1.5039 1.43732
0.337646 1.23746 0.449996 1.50394 1.43737
0.340088 1.23747 0.450008 1.50395 1.43739
0.342529 1.23745 0.449973 1.50391 1.43736
0.344971 1.23741 0.449891 1.50384 1.43727
0.347412 1.23737 0.449826 1.50379 1.43719
0.349854 1.23739 0.449867 1.50383 1.43723
0.352295 1.23748 0.450019 1.50396 1.4374
0.355225 1.2375 0.450058 1.50398 1.43745
0.357666 1.23745 0.449982 1.50392 1.43736
0.360107 1.23743 0.449948 1.50389 1.43732
0.362549 1.23743 0.449954 1.5039 1.43732
0.36499 1.23743 0.44994 1.50389 1.4373
0.367432 1.23741 0.449914 1.50386 1.43728
0.369873 1.23743 0.449926 1.50387 1.4373
0.372314 1.23745 0.449964 1.5039 1.43734
0.375244 1.23748 0.45003 1.50397 1.43741
0.377686 1.23753 0.450111 1.50404 1.43749
0.380127 1.23758 0.450202 1.50411 1.4376
0.382568 1.23761 0.450245 1.50415 1.43765
0.38501 1.2376 0.450229 1.50413 1.43763
0.387451 1.23757 0.450181 1.5041 1.43758
0.389893 1.23753 0.450091 1.50402 1.43747
0.392334 1.23745 0.449953 1.5039 1.43732
0.394775 1.23736 0.449796 1.50376 1.43716
0.397705 1.23734 0.449757 1.50372 1.43712
0.400146 1.23735 0.449777 1.50374 1.43714
0.402588 1.23736 0.449799 1.50377 1.43716
0.405029 1.23737 0.449829 1.50379 1.43718
0.407471 1.23741 0.449894 1.50385 1.43726
0.409912 1.23745 0.449961 1.5039 1.43733
0.412354 1.23744 0.449946 1.50389 1.43731
0.414795 1.23741 0.449894 1.50385 1.43725
0.417725 1.23739 0.449863 1.50383 1.43722
0.420166 1.23741 0.449913 1.50387 1.43727
0.422607 1.23749 0.450046 1.50398 1.43742
0.425049 1.23756 0.45016 1.50408 1.43755
0.42749 1.23755 0.450145 1.50407 1.43753
0.429932 1.23753 0.450109 1.50404 1.43749
0.432373 1.23752 0.450089 1.50403 1.43747
0.434814 1.23753 0.450102 1.50403 1.43748
0.437744 1.23755 0.450134 1.50406 1.43753
0.440186 1.23754 0.450133 1.50406 1.43752
0.442627 1.23752 0.450088 1.50402 1.43747
0.445068 1.23746 0.449986 1.50393 1.43736
