# AMReX N0 (const+Euler+BS), Nx=400, t=0.1, CFL 0.1; source benchmarks/raw/report_inputs/bw_n0_400.csv
x rho u By p
0.86125 0.122563 -0.0719303 -0.971367 0.0956737
0.86625 0.12291 -0.0616517 -0.975512 0.0962397
0.87125 0.123233 -0.0520785 -0.979361 0.0967774
0.87625 0.123529 -0.0433123 -0.982877 0.0972799
0.88125 0.123796 -0.0354283 -0.98603 0.0977413
0.88625 0.124032 -0.0284718 -0.988803 0.0981568
0.89125 0.124236 -0.0224573 -0.991193 0.0985236
0.89625 0.124409 -0.0173676 -0.993208 0.0988405
0.90125 0.124552 -0.013157 -0.99487 0.0991081
0.90625 0.124667 -0.00975529 -0.996208 0.0993286
0.91125 0.124759 -0.007074 -0.997259 0.0995058
0.91625 0.124829 -0.00501371 -0.998063 0.0996446
0.92125 0.124881 -0.00347136 -0.998663 0.0997504
0.92625 0.12492 -0.00234702 -0.999099 0.0998289
0.93125 0.124947 -0.00154914 -0.999407 0.0998856
0.93625 0.124966 -0.000998028 -0.999619 0.0999253
0.94125 0.124979 -0.000627525 -0.999761 0.0999524
0.94625 0.124987 -0.000385075 -0.999854 0.0999705
0.95125 0.124992 -0.00023062 -0.999913 0.0999821
0.95625 0.124995 -0.00013481 -0.999949 0.0999894
0.96125 0.124997 -7.69238e-05 -0.999971 0.0999939
0.96625 0.124999 -4.2852e-05 -0.999984 0.0999966
0.97125 0.124999 -2.33084e-05 -0.999991 0.0999981
0.97625 0.125 -1.23807e-05 -0.999995 0.099999
0.98125 0.125 -6.4228e-06 -0.999998 0.0999995
0.98625 0.125 -3.25436e-06 -0.999999 0.0999997
0.99125 0.125 -1.61208e-06 -0.999999 0.0999999
0.99625 0.125 -8.08271e-07 -1 0.0999999
